id,type,identifier,label,classification,linked_to,joint_committees_labs,altlabel_en,preflabel_en,temporal_id,temporal_end_date,temporal_start_date
org/7923,Organization,7923,CJ14,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6582,AGRI,Joint ENVI - AGRI,Joint committee procedure - ENVI and AGRI,time-period/20250120,,2025-01-20
org/7923,Organization,7923,CJ14,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/7913,ENVI,Joint ENVI - AGRI,Joint committee procedure - ENVI and AGRI,time-period/20250120,,2025-01-20
org/6562,Organization,6562,AFET,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Foreign Affairs,Committee on Foreign Affairs,time-period/20240716,,2024-07-16
org/110,Organization,110,FEMM,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Women's Rights,Committee on Women's Rights,time-period/19940721-19970115,1997-01-15,1994-07-21
org/7002,Organization,7002,CJ47,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6586,LIBE,Joint EMPL - LIBE,Joint committee procedure - EMPL and LIBE,time-period/20240716,,2024-07-16
org/7002,Organization,7002,CJ47,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/6572,EMPL,Joint EMPL - LIBE,Joint committee procedure - EMPL and LIBE,time-period/20240716,,2024-07-16
org/132,Organization,132,PECH,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Fisheries,Committee on Fisheries,time-period/19970116-19990719,1999-07-19,1997-01-16
org/2872,Organization,2872,CULT,def/ep-entities/COMMITTEE_PARLIAMENTARY_STANDING,,,Culture and Education,Committee on Culture and Education,time-period/20090714-20120118,2012-01-18,2009-07-14
org/4890,Organization,4890,CJ14,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3958,AGRI,Joint ENVI - AGRI,Procedure with joint meetings  - ENVI and AGRI,time-period/20141127-20170118,2017-01-18,2014-11-27
org/4890,Organization,4890,CJ14,def/ep-entities/COMMITTEE_PARLIAMENTARY_JOINT,org/3953,ENVI,Joint ENVI - AGRI,Procedure with joint meetings  - ENVI and AGRI,time-period/20141127-20170118,2017-01-18,2014-11-27
