country_id,country_iso3c,country_name_en,polgroup_id,political_group,natparty_id,national_party,national_party_long
22,POL,Poland,7037,ECR,6940,SP,Sovereign Poland
9,EST,Estonia,7037,ECR,7024,Independent,Independent
11,FRA,France,7037,ECR,7027,Mouvement conservateur,Mouvement conservateur
18,LUX,Luxembourg,7037,ECR,7031,ADR,Alternativ Demokratesch Reformpartei
13,HRV,Croatia,7037,ECR,7872,DOMiNO,Dom i nacionalno okupljanje
11,FRA,France,7037,ECR,7876,IDL,Identité Libertés
24,ROU,Romania,7037,ECR,7962,ACT,Partidul Acțiunea Conservatoare
24,ROU,Romania,7038,S&D,5320,PSD,Partidul Social Democrat
9,EST,Estonia,7038,S&D,6665,SDE,Sotsiaaldemokraatlik Erakond
8,ESP,Spain,7038,S&D,6667,PSOE,Partido Socialista Obrero Español
10,FIN,Finland,7038,S&D,6672,SDP,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
16,ITA,Italy,7038,S&D,6675,PD,Partito Democratico
18,LUX,Luxembourg,7038,S&D,6681,LSAP,Parti ouvrier socialiste luxembourgeois
19,LVA,Latvia,7038,S&D,6686,Saskaņa SDP,"""""Saskaņa"""" sociāldemokrātiskā partija"
20,MLT,Malta,7038,S&D,6689,PL,Partit Laburista
21,NLD,Netherlands,7038,S&D,6692,PvdA,Partij van de Arbeid
23,PRT,Portugal,7038,S&D,6706,PS,Partido Socialista
24,ROU,Romania,7038,S&D,6708,PSD,Partidul Social Democrat
27,SWE,Sweden,7038,S&D,6712,S,Arbetarepartiet- Socialdemokraterna
26,SVN,Slovenia,7038,S&D,6721,SD,Socialni demokrati
14,HUN,Hungary,7038,S&D,6724,DK,Demokratikus Koalíció
11,FRA,France,7038,S&D,6728,PS,Parti socialiste
13,HRV,Croatia,7038,S&D,6735,SDP,Socijaldemokratska partija Hrvatske
1,AUT,Austria,7038,S&D,6746,SPÖ,Sozialdemokratische Partei Österreichs
2,BEL,Belgium,7038,S&D,6758,PS,Parti Socialiste
3,BGR,Bulgaria,7038,S&D,6762,BSP,Bulgarian Socialist Party
4,CYP,Cyprus,7038,S&D,6766,DI.KO.,Democratic Party
6,DEU,Germany,7038,S&D,6772,SPD,Sozialdemokratische Partei Deutschlands
7,DNK,Denmark,7038,S&D,6777,A,Socialdemokratiet
11,FRA,France,7038,S&D,6785,Place publique,Place publique
17,LTU,Lithuania,7038,S&D,6797,LSDP,Lietuvos socialdemokratų partija
8,ESP,Spain,7038,S&D,6816,PSC-PSOE,Partit dels Socialistes de Catalunya (PSC-PSOE)
12,GRC,Greece,7038,S&D,6876,KINAL,PASOK-KINAL
22,POL,Poland,7038,S&D,6899,NL,Nowa Lewica
2,BEL,Belgium,7038,S&D,6912,Vooruit,Vooruit
15,IRL,Ireland,7038,S&D,7022,LABOUR,Labour Party
21,NLD,Netherlands,7038,S&D,7952,GL-PvdA,GroenLinks-PvdA
5,CZE,Czechia,7150,PfE,,,
7,DNK,Denmark,7150,PfE,6662,O,Dansk Folkeparti
21,NLD,Netherlands,7150,PfE,6696,PVV,Partij voor de Vrijheid
14,HUN,Hungary,7150,PfE,6737,Fidesz-KDNP,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
1,AUT,Austria,7150,PfE,6747,FPÖ,Freiheitliche Partei Österreichs
2,BEL,Belgium,7150,PfE,6751,Vlaams Belang,Vlaams Belang
